Platform,Product_ID,Product_Category,Product_Subcategory,Product_Price,Discount_%,Stock_Count,Review_ID,Seller_ID,Rating,Review_Text,Review_Length,Sentiment_Score,Verified_Purchase,Delivery_Days,Return_Requested,Damage_Reported,Complaint_Type,IP_Address,Device_Fingerprint,Review_Timestamp,IP_Review_Frequency,Device_Reuse_Count,Burst_Review_Flag,Fraud_Label
WhatsApp Business,P103,Storage,Shoe Rack,32398,33,71,R1,S210,5,Excellent quality and fast delivery,5,0.181,Yes,1,Yes,No,,10.0.0.5,DEV-1434,06-08-2025 22:44,13,23,Yes,Genuine
Quikr,P903,Kitchen,Utensil Holder,36763,5,388,R2,S327,4,Product matches description perfectly,4,-0.444,Yes,11,Yes,No,,10.0.0.1,DEV-6881,25-10-2025 01:27,39,9,Yes,Genuine
Instagram,P2989,Kitchen,Utensil Holder,16661,53,40,R3,S1131,3,Battery drains quickly,3,-0.615,Yes,2,Yes,No,Poor Quality,192.168.40.119,DEV-2654,11-10-2025 21:23,18,15,No,Complaint
OLX,P667,Lighting,LED Strip,27760,39,359,R4,S1400,1,Battery drains quickly,3,0.458,Yes,15,Yes,No,Wrong Item,192.168.112.166,DEV-1916,05-12-2025 21:31,3,11,No,Complaint
Quikr,P1097,Furniture,Bed,119986,77,448,R5,S1471,3,Received wrong item,3,-0.209,No,5,No,No,Battery Issue,10.0.0.5,DEV-9830,23-11-2025 15:06,38,14,Yes,Complaint
Quikr,P1483,Home Decor,Mirror,67084,68,46,R6,S97,1,Item arrived damaged,3,0.584,No,20,Yes,No,Wrong Item,10.0.0.4,DEV-8668,18-08-2025 15:30,17,18,Yes,Complaint
Instagram,P2787,Storage,Organizer Box,89653,73,384,R7,S547,3,"Not as described, poor quality",5,-0.13,No,1,No,Yes,Damaged Product,192.168.91.54,DEV-5889,26-08-2025 10:57,39,7,No,Complaint
Facebook Marketplace,P1532,Electronics,Earbuds,70997,72,470,R8,S2,5,Product matches description perfectly,4,-0.023,Yes,12,No,No,,10.0.0.2,DEV-2290,27-01-2026 02:31,32,3,Yes,Genuine
Facebook Marketplace,P526,Storage,Shoe Rack,72363,26,135,R9,S1081,5,Worth the price and good packaging,6,0.929,Yes,10,No,No,,192.168.191.224,DEV-9479,15-09-2025 21:50,8,8,No,Genuine
Telegram,P263,Lighting,Lamp,77410,75,117,R10,S1206,2,Very disappointed with the product,5,0.416,Yes,8,Yes,No,Late Delivery,10.0.0.1,DEV-6413,01-02-2026 11:49,33,8,Yes,Complaint
Meesho,P2741,Kitchen,Storage Jar,70978,21,370,R11,S1170,5,Worth the price and good packaging,6,-0.514,No,14,Yes,No,,10.0.0.4,DEV-6804,26-09-2025 01:41,27,15,Yes,Fake
Instagram,P2759,Storage,Drawer Unit,13199,12,206,R12,S1492,3,Item arrived damaged,3,-0.617,No,5,No,Yes,Damaged Product,10.0.0.4,DEV-5092,30-01-2026 20:15,29,18,Yes,Complaint
WhatsApp Business,P208,Storage,Drawer Unit,109879,6,496,R13,S192,2,Received wrong item,3,-0.029,Yes,13,Yes,No,Wrong Item,192.168.84.194,DEV-1035,08-10-2025 03:25,17,15,No,Complaint
Meesho,P1733,Storage,Drawer Unit,102976,76,338,R14,S1472,4,Very satisfied with the purchase,5,-0.62,Yes,2,Yes,No,,192.168.29.25,DEV-8811,28-08-2025 05:00,34,6,No,Genuine
Instagram,P2081,Furniture,Bed,9281,13,345,R15,S482,4,Excellent quality and fast delivery,5,0.883,Yes,19,Yes,No,,192.168.214.161,DEV-5272,14-12-2025 22:08,21,8,No,Genuine
Meesho,P1622,Home Decor,Clock,60229,45,475,R16,S149,1,Battery drains quickly,3,0.997,Yes,3,Yes,No,Missing Parts,192.168.135.67,DEV-6718,02-02-2026 05:52,16,12,No,Complaint
Meesho,P647,Kitchen,Utensil Holder,92514,43,313,R17,S1340,5,Excellent quality and fast delivery,5,0.336,No,4,Yes,No,,192.168.54.79,DEV-5462,16-11-2025 16:57,39,7,No,Genuine
OLX,P834,Storage,Drawer Unit,112092,38,258,R18,S1001,3,Very disappointed with the product,5,0.269,No,2,Yes,No,Late Delivery,192.168.66.134,DEV-3647,19-09-2025 10:09,36,23,No,Complaint
Quikr,P2298,Furniture,Sofa,10162,24,279,R19,S74,3,Amazing amazing amazing product,4,-0.14,Yes,10,No,No,,192.168.20.183,DEV-4441,28-11-2025 10:33,7,12,No,Genuine
Quikr,P2543,Storage,Organizer Box,31329,25,499,R20,S363,4,Excellent quality and fast delivery,5,-0.641,No,14,Yes,No,,192.168.55.195,DEV-1634,08-09-2025 22:01,15,7,No,Genuine
YouTube Live,P1433,Lighting,Chandelier,29519,8,337,R21,S396,4,Product matches description perfectly,4,-0.443,Yes,9,No,No,,192.168.204.169,DEV-1452,16-01-2026 07:06,17,6,No,Genuine
Meesho,P157,Furniture,Coffee Table,57259,49,373,R22,S643,4,Highly recommend this seller,4,0.968,Yes,13,Yes,No,,192.168.223.0,DEV-9518,15-08-2025 05:55,13,12,No,Genuine
Quikr,P287,Storage,Shoe Rack,81978,45,339,R23,S256,3,100% trusted seller highly recommend,5,0.334,No,13,No,No,,192.168.98.215,DEV-7211,25-12-2025 22:18,40,19,No,Genuine
Meesho,P1664,Bedding,Bedsheet,40129,41,107,R24,S881,5,Highly recommend this seller,4,0.309,No,15,No,No,,192.168.242.86,DEV-2389,15-11-2025 23:13,33,22,No,Genuine
OLX,P383,Electronics,Earbuds,88484,44,115,R25,S408,2,Very disappointed with the product,5,-0.51,No,20,Yes,No,Late Delivery,192.168.37.233,DEV-7790,18-12-2025 11:58,25,16,No,Complaint
Quikr,P1000,Home Decor,Wall Art,117302,18,398,R26,S871,2,Battery drains quickly,3,-0.071,Yes,4,Yes,No,Wrong Item,192.168.237.162,DEV-8251,27-08-2025 12:09,28,18,No,Complaint
YouTube Live,P652,Storage,Shoe Rack,59291,38,384,R27,S507,3,Super product awesome awesome,4,0.253,No,15,Yes,No,,192.168.120.139,DEV-6502,02-11-2025 21:19,35,3,No,Genuine
Facebook Marketplace,P618,Home Decor,Vase,91257,24,361,R28,S439,1,Received wrong item,3,-0.338,No,14,Yes,No,Color Mismatch,10.0.0.4,DEV-7381,20-02-2026 04:18,37,13,Yes,Complaint
YouTube Live,P25,Lighting,LED Strip,99059,54,436,R29,S859,5,Highly recommend this seller,4,0.6,Yes,16,Yes,No,,192.168.248.14,DEV-7371,27-10-2025 21:50,26,24,No,Genuine
Facebook Marketplace,P1915,Home Decor,Showpiece,70308,8,464,R30,S807,5,Highly recommend this seller,4,0.326,Yes,14,Yes,No,,192.168.93.25,DEV-5262,12-10-2025 06:19,21,7,No,Genuine
YouTube Live,P1339,Lighting,Ceiling Light,36771,58,129,R31,S168,4,Excellent quality and fast delivery,5,0.498,Yes,12,Yes,No,,192.168.20.15,DEV-5051,16-12-2025 16:56,2,20,No,Genuine
Facebook Marketplace,P978,Home Decor,Vase,88047,19,288,R32,S447,4,Product matches description perfectly,4,0.534,Yes,20,Yes,No,,192.168.83.159,DEV-2771,17-02-2026 22:36,20,19,No,Genuine
Quikr,P1625,Storage,Organizer Box,10261,80,353,R33,S1285,2,"Not as described, poor quality",5,0.701,Yes,19,Yes,Yes,Damaged Product,192.168.177.219,DEV-7071,02-02-2026 04:25,33,21,No,Complaint
OLX,P52,Electronics,Power Bank,108084,67,54,R34,S888,3,Item arrived damaged,3,-0.129,No,20,No,No,Missing Parts,192.168.137.165,DEV-5022,26-01-2026 17:42,18,15,No,Complaint
Telegram,P1904,Bedding,Blanket,44392,8,253,R35,S666,2,Item arrived damaged,3,-0.29,No,11,Yes,No,Missing Parts,192.168.141.5,DEV-9464,19-12-2025 17:30,6,8,No,Complaint
Quikr,P2002,Bedding,Curtain,90819,65,330,R36,S1458,4,Worth the price and good packaging,6,0.586,Yes,10,Yes,No,,192.168.124.156,DEV-7046,07-09-2025 23:34,36,17,No,Genuine
OLX,P1743,Storage,Drawer Unit,43657,50,359,R37,S930,3,"Not as described, poor quality",5,-0.539,Yes,11,Yes,No,Fake Product,192.168.94.98,DEV-4545,03-09-2025 23:59,18,24,No,Complaint
Meesho,P412,Electronics,Earbuds,39129,34,184,R38,S368,3,Battery drains quickly,3,-0.747,Yes,2,No,No,Late Delivery,192.168.64.251,DEV-2680,22-02-2026 19:48,37,10,No,Complaint
YouTube Live,P1961,Kitchen,Spice Rack,24464,11,129,R39,S979,1,Received wrong item,3,-0.017,Yes,5,Yes,Yes,Damaged Product,10.0.0.5,DEV-5978,27-01-2026 06:39,16,4,Yes,Complaint
